Versicherer;Kanton;Geschäftsjahr;Durchschnittsbestand
0008;AG;2024;153225.267
0008;AI;2024;3159.888926
0008;AR;2024;7117.170195
0008;BE;2024;71133.22752
0008;BL;2024;42367.58111
0008;BS;2024;20470.61475
0008;FR;2024;98071.62137
0008;GE;2024;89656.38041
0008;GL;2024;6263.825108
0008;GR;2024;20940.17727
0008;JU;2024;23499.75009
0008;LU;2024;148634.8903
0008;NE;2024;27298.84046
0008;NW;2024;10532.86816
0008;OW;2024;11635.23672
0008;SG;2024;122106.7538
0008;SH;2024;8490.446317
0008;SO;2024;66121.71889
0008;SZ;2024;59795.57468
0008;TG;2024;43497.85988
0008;TI;2024;79374.68146
0008;UR;2024;12234.32694
0008;VD;2024;103665.724
0008;VS;2024;74486.98958
0008;ZG;2024;37490.09707
0008;ZH;2024;196458.8878
0032;AG;2024;58747.63
0032;AI;2024;5
0032;AR;2024;26.83
0032;BE;2024;10265.55
0032;BL;2024;228.03
0032;BS;2024;139.76
0032;FR;2024;437.05
0032;GE;2024;142.23
0032;GL;2024;134.5
0032;GR;2024;1560.58
0032;JU;2024;5.47
0032;LU;2024;313.69
0032;NE;2024;95.33
0032;NW;2024;197.59
0032;OW;2024;221.72
0032;SG;2024;473.81
0032;SH;2024;420.23
0032;SO;2024;342.13
0032;SZ;2024;666.26
0032;TG;2024;270.31
0032;TI;2024;2596.27
0032;UR;2024;105.06
0032;VD;2024;612.9
0032;VS;2024;72.19
0032;ZG;2024;280.01
0032;ZH;2024;9843.98
0134;GL;2024;13.58
0134;LU;2024;23.45
0134;NW;2024;0
0134;OW;2024;2
0134;SG;2024;101.44
0134;SZ;2024;8217.51
0134;UR;2024;3.96
0134;ZG;2024;25.6
0134;ZH;2024;69.78
0194;AG;2024;1135.92
0194;AI;2024;7
0194;AR;2024;30.16
0194;BE;2024;24769.53
0194;BL;2024;1396.04
0194;BS;2024;62.65
0194;FR;2024;291.04
0194;GL;2024;34.22
0194;GR;2024;126.24
0194;LU;2024;1059.25
0194;NW;2024;37.09
0194;OW;2024;36.34
0194;SG;2024;127.08
0194;SH;2024;70.97
0194;SO;2024;940.94
0194;SZ;2024;76.32
0194;TG;2024;181.34
0194;UR;2024;24.27
0194;VS;2024;62.33
0194;ZG;2024;69.93
0194;ZH;2024;1233.93
0246;AG;2024;344.91
0246;BE;2024;6301.96
0246;GL;2024;194.03
0246;NW;2024;724.9
0246;OW;2024;532.89
0246;SO;2024;1129.06
0246;SZ;2024;789.05
0246;UR;2024;79.18
0246;VS;2024;44.66
0246;ZG;2024;106.43
0246;ZH;2024;1187.92
0290;AG;2024;96453.6875
0290;AI;2024;1894.299167
0290;AR;2024;4146.146667
0290;BE;2024;34262.5525
0290;BL;2024;18691.98583
0290;BS;2024;9951.086667
0290;FR;2024;35927.28
0290;GE;2024;14183.17333
0290;GL;2024;3146.483333
0290;GR;2024;8268.865833
0290;JU;2024;4224.755833
0290;LU;2024;103442.1892
0290;NE;2024;3967.193333
0290;NW;2024;12355.5175
0290;OW;2024;11376.4125
0290;SG;2024;49679.78417
0290;SH;2024;6643.6225
0290;SO;2024;14463.44917
0290;SZ;2024;28407.71333
0290;TG;2024;19565.16167
0290;TI;2024;17339.6875
0290;UR;2024;9457.633333
0290;VD;2024;32021.96917
0290;VS;2024;14740.37667
0290;ZG;2024;21753.42417
0290;ZH;2024;96521.4975
0312;AG;2024;14085.95677
0312;AI;2024;150.6686995
0312;AR;2024;206.3175627
0312;BE;2024;20683.2231
0312;BL;2024;7800.284681
0312;BS;2024;1988.639362
0312;FR;2024;2754.223273
0312;GE;2024;1546.03591
0312;GL;2024;653.009064
0312;GR;2024;3004.569842
0312;JU;2024;1053.395608
0312;LU;2024;6198.530587
0312;NE;2024;497.9216089
0312;NW;2024;323.9813857
0312;OW;2024;1004.349111
0312;SG;2024;11917.30054
0312;SH;2024;558.8096827
0312;SO;2024;3843.935403
0312;SZ;2024;1847.892568
0312;TG;2024;6085.37739
0312;TI;2024;5873.740453
0312;UR;2024;963.0574378
0312;VD;2024;13455.76816
0312;VS;2024;5627.577481
0312;ZE;2024;3.41666666
0312;ZG;2024;1461.92417
0312;ZH;2024;37376.50542
0343;AG;2024;25191.48528
0343;AI;2024;30.78207884
0343;AR;2024;1213.054802
0343;BE;2024;40060.83589
0343;BL;2024;17309.01771
0343;BS;2024;11907.9862
0343;FR;2024;13200.50928
0343;GE;2024;28574.03089
0343;GL;2024;2099.560444
0343;GR;2024;1386.313824
0343;JU;2024;1833.903495
0343;LU;2024;13156.20806
0343;NE;2024;6617.317384
0343;NW;2024;945.8670776
0343;OW;2024;621.1711315
0343;SG;2024;10207.71784
0343;SH;2024;993.6348968
0343;SO;2024;6434.361887
0343;SZ;2024;2196.557987
0343;TG;2024;21213.47307
0343;TI;2024;6779.789028
0343;UR;2024;770.5754697
0343;VD;2024;67308.96614
0343;VS;2024;16461.75084
0343;ZG;2024;2053.623776
0343;ZH;2024;43352.10657
0360;AG;2024;2443.47
0360;BE;2024;665.75
0360;LU;2024;20611.95
0360;NW;2024;114.31
0360;OW;2024;65.84
0360;SO;2024;344.6
0360;SZ;2024;80.87
0360;UR;2024;20.17
0360;ZG;2024;174.43
0360;ZH;2024;1063.74
0376;AG;2024;15394.09667
0376;AI;2024;396.0183333
0376;AR;2024;2684.63
0376;BE;2024;153688.5325
0376;BL;2024;11956.85167
0376;BS;2024;5437.1275
0376;FR;2024;16982.6625
0376;GE;2024;6219.250833
0376;GL;2024;1101.1375
0376;GR;2024;16223.76333
0376;JU;2024;1184.9625
0376;LU;2024;15388.2375
0376;NE;2024;662.2308334
0376;NW;2024;3991.685
0376;OW;2024;969.0716667
0376;SG;2024;25856.46583
0376;SH;2024;1362.840833
0376;SO;2024;22419.00833
0376;SZ;2024;2819.563333
0376;TG;2024;5686.824167
0376;TI;2024;54520.39167
0376;UR;2024;1450.924167
